source,date,title,description
Floridatoday.com,2019-03-05T22:53:00Z,'Little Earth' sold out: SpaceX Crew Dragon mission plush toy - Florida Today,"Ever since SpaceX CEO Elon Musk revealed there would be a ""super high tech zero-g indicator"" aboard the Crew Dragon capsule, the plush Earth toy has not only sold out across the universe, it has captivated the hearts of astronauts on board the International S…"
Express.co.uk,2019-03-05T21:30:00Z,NASA Moon landing SHOCK: What did Apollo 11 discover during lost two minutes of SILENCE? - Express.co.uk,NASA’S Apollo 11 crew achieved the first manned Moon landing in 1969 but there are some researchers who question whether NASA has told the entire truth about the landing. Here is what some believe happened during two mysterious minutes when Apollo 11 went rad…
Nasa.gov,2019-03-05T21:24:22Z,"Discovery Alert! Kepler's First Planet Candidate Confirmed, 10 Years Later - NASA Exoplanet Exploration and Discovery","Despite being the very first planet candidate discovered by NASA’s Kepler space telescope, Kepler-1658b had a rocky road to confirmation. It moved from planet candidate to false positive and back until scientists refined the data and took a new look."
Phys.org,2019-03-05T20:35:29Z,CERN approves hunt for new cosmic particles at the Large Hadron Collider - Phys.Org,"The CERN research board has approved the Forward Search Experiment, giving a green light to the assembly, installation and use of an instrument that will look for new fundamental particles at the Large Hadron Collider in Geneva, Switzerland."
Phys.org,2019-03-05T20:09:09Z,"New reactor-liner alloy material offers strength, resilience - Phys.org","A new tungsten-based alloy developed at Los Alamos National Laboratory can withstand unprecedented amounts of radiation without damage. Essential for extreme irradiation environments such as the interiors of magnetic fusion reactors, previously explored mater…"
Phys.org,2019-03-05T19:24:20Z,"Modern beer yeast emerged from mix of European grape wine, Asian rice wine yeast - Phys.org","For thousands of years brewers made beer using specialized strains of the budding yeast Saccharomyces cerevisiae. The historical origins of brewer's yeast are not well understood, however, as brewing predates the discovery of microbes. A new study publishing …"
Designboom.com,2019-03-05T19:22:39Z,experience t-rex in virtual reality at the american museum of natural history - Designboom,"the american museum of natural history presents a t-rex virtual reality experience, created in collaboration with HTC VIVE."
Sciencedaily.com,2019-03-05T19:14:48Z,Scientists levitate particles with sound to find out how they cluster together - Science Daily,"Scientists have used sound waves to levitate particles, revealing new insights about how materials cluster together in the absence of gravity -- principles which underlie everything from how molecules assemble to the very early stages of planet formation from…"
Phys.org,2019-03-05T18:52:58Z,Galactic wind provides clues to evolution of galaxies - Phys.org,"The Cigar Galaxy (also known as M82) is famous for its extraordinary speed in making new stars, with stars being born 10 times faster than in the Milky Way. Now, data from the Stratospheric Observatory for Infrared Astronomy, or SOFIA, have been used to study…"
Fox News,2019-03-05T17:59:48Z,NASA’s Hubble space telescope suffers camera glitch - Fox News,NASA’s Hubble space telescope has suffered a camera glitch after software was incorrectly loaded onto one of its key instruments.
Futurism.com,2019-03-05T17:22:50Z,"China Announces ""Imminent Launch"" of New Space Station - Futurism","""It will be the country's space lab in long-term stable in-orbit operation."""
Sciencemag.org,2019-03-05T16:43:15Z,There's an arms race going on in this bird nest. Scientists are uncovering how each side fights back - Science Magazine,Deadbeat birds duke it out with cuckolded parents
Space.com,2019-03-05T16:35:00Z,China's Rover on the Far Side of the Moon Is Heading for New Lunar Territory - Space.com,
Sciencedaily.com,2019-03-05T16:19:34Z,New hurdle cleared in race toward quantum computing: Quasiparticles experimentally shown to interfere for first time - Science Daily,"Researchers have created a new device that allows them to probe the interference of quasiparticles, potentially paving the way for the development of topological qubits."
Phys.org,2019-03-05T14:47:33Z,Nanotechnology and sunlight clear the way for better visibility - Phys.org,"A new coating developed by ETH researchers prevents fogging on transparent surfaces. Rather than using electricity, the coating relies on sunlight to heat the surface."
Phys.org,2019-03-05T14:28:28Z,Scientists use machine learning to identify high-performing solar materials - Phys.org,"Finding the best light-harvesting chemicals for use in solar cells can feel like searching for a needle in a haystack. Over the years, researchers have developed and tested thousands of different dyes and pigments to see how they absorb sunlight and convert i…"
Phys.org,2019-03-05T14:12:35Z,"Astronomers detect deep, long asymmetric occultation in a newly found low-mass star - Phys.org","An international team of astronomers has observed a deep, day-long asymmetric occultation in a recently detected low-mass star known as EPIC 204376071. In a research paper published February 21 on arXiv.org, the scientists detail their finding and ponder vari…"
Slashgear.com,2019-03-05T13:41:53Z,Spider silk could be used as muscles in robots thanks to a new discovery - SlashGear,Much of the design of robots today focus on copying the bodies of humans and other creatures. Researchers from MIT have found an unusual property of spider silk that would mean the ultrastrong mate…
