source,text,time,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative,username
,Clayton Kershaw may miss Opening Day start - True Blue LA,2019-03-04T20:06:05Z,0.0,0.0,0.0,0.6118140000000001,0.0,0.0,0.0,Truebluela.com
,New York Knicks: A Kingâs Landing in Sacramento - FanSided,2019-03-04T20:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dailyknicks.com
,"Raiders make most sense for Antonio Brown, Peter King says - NBCSports.com",2019-03-04T19:25:12Z,0.0,0.0,0.5105149999999999,0.0,0.0,0.0,0.0,Nbcsports.com
,No indication Giants will cut or restructure contract of Janoris Jenkins - SNY.tv,2019-03-04T19:12:00Z,0.0,0.0,0.0,0.0,0.8219129999999999,0.0,0.7163010000000001,Www.sny.tv
,"Ignas Brazdeikis On Maryland Fans, ""My Girls The Baddest Tho So I Stay Winning,"" See Her Photos - 97.1 The Ticket",2019-03-04T19:09:16Z,0.0,0.0,0.651287,0.0,0.0,0.0,0.0,Radio.com
,Houston Texans place franchise tag on Jadeveon Clowney - KTRK-TV,2019-03-04T19:07:58Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abc13.com
,Keith Mitchell's winning highlights from Honda 2019 - PGA TOUR,2019-03-04T18:47:29Z,0.0,0.0,0.638922,0.0,0.0,0.0,0.0,Youtube.com
,NFL Draft: 5 defensive tackle prospects who could help the Falcons - AtlantaFalcons.com,2019-03-04T18:04:26Z,0.0,0.0,0.0,0.0,0.0,0.0,0.7163010000000001,Atlantafalcons.com
,Why Jim Delany retiring is a good thing for college football - Yahoo Sports,2019-03-04T18:00:00Z,0.0,0.0,0.683724,0.0,0.0,0.0,0.0,Yahoo.com
,College basketball rankings: Zags still the No. 1 team in the nation - The Slipper Still Fits,2019-03-04T17:39:12Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Slipperstillfits.com
,Alex Cora zeroes in on Dustin Pedroia's debut - WEEI,2019-03-04T17:10:59Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Radio.com
,Watch Kyrie Irving's full press conference after the Celtics lost to the Rockets - Boston.com,2019-03-04T16:34:48Z,0.0,0.0,0.0,0.50769,0.0,0.0,0.0,Boston.com
,It's not a surprise so many teams are reportedly interested in trading for Antonio Brown - Behind the Steel Curtain,2019-03-04T13:57:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Behindthesteelcurtain.com
,"Bryce Harper joke: Colin Jost slams Philly, to appear on WWE Raw - Sports Illustrated",2019-03-04T13:42:33Z,0.0,0.0,0.0,0.0,0.6147600000000001,0.0,0.6816989999999999,Si.com
,MVP? Champion? Captain? Expectations sky-high for Aaron Judge in Year 3 - ESPN,2019-03-04T13:31:44Z,0.0,0.0,0.0,0.0,0.845282,0.0,0.0,Espn.com
,Brad Stevens needs to change his rotation - WEEI,2019-03-04T11:27:30Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Radio.com
,Dallas Cowboys and David Irving Appear To Part Ways For Good - Dallas Observer,2019-03-04T10:00:00Z,0.0,0.0,0.6747479999999999,0.0,0.0,0.0,0.7163010000000001,Dallasobserver.com
,Ole Gunnar Solskjaer heads to Paris weakened in number â but high in confidence - FourFourTwo,2019-03-04T09:03:41Z,0.0,0.0,0.555846,0.0,0.0,0.751512,0.0,FourFourTwo
,Victory Lane: Joey Logano celebrates Vegas win - NASCAR,2019-03-04T00:26:17Z,0.0,0.0,0.745965,0.0,0.0,0.0,0.0,Youtube.com
,Tigers Seeded Seventh in ACC Tournament â Clemson Tigers Official Athletics Site - clemsontigers.com,2019-03-03T23:21:36Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clemsontigers.com
,Linebackers Run the 40-Yard Dash | 2019 NFL Scouting Combine Highlights - NFL,2019-03-03T19:48:55Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Youtube.com
,Captain Marvel review: A soaring tale of self-discovery with a '90s riff - CNET,2019-03-05T17:46:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cnet.com
,GAME OF THRONES Season 8 Official Trailer #2 (2019) HBO Series HD - JoBlo Movie Trailers,2019-03-05T16:28:50Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Youtube.com
,"The National announce new album, I Am Easy to Find, and Mike Mills-directed film - Consequence of Sound",2019-03-05T16:27:00Z,0.0,0.0,0.772436,0.0,0.8555719999999999,0.0,0.0,Consequenceofsound.net
,Willie Nelson Announces Outlaw Music Festival Summer Tour 2019 - JamBase,2019-03-05T16:15:00Z,0.0,0.0,0.719666,0.0,0.0,0.0,0.0,Jambase.com
,Corey Feldman defends Michael Jackson - CNN,2019-03-05T16:05:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CNN
,Feminist Frequency returns with gaming YouTube series Queer Tropes - Polygon,2019-03-05T16:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon
,'School of Rock' Kid Arrested Four Times for Stealing Guitars - Loudwire,2019-03-05T15:54:42Z,0.511735,0.0,0.0,0.0,0.0,0.0,0.0,Youtube.com
,Jersey Shore's Sammi ''Sweetheart'' Giancola Is Engaged - E! NEWS,2019-03-05T15:42:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eonline.com
,Are the Jonas Brothers Going on Tour in 2019? - The Cheat Sheet,2019-03-05T15:34:58Z,0.0,0.0,0.0,0.559701,0.0,0.0,0.0,Cheatsheet.com
,Wrestling star King Kong Bundy dies at 61 - CNN,2019-03-05T15:30:00Z,0.0,0.0,0.0,0.745541,0.0,0.0,0.0,CNN
,Mac DeMarco insists similarities to Mitski album/song titles are coincidental (is he trolling?) - Brooklyn Vegan,2019-03-05T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brooklynvegan.com
,Palace gala marks 50 years since Prince Charles' investiture as Prince of Wales - AOL,2019-03-05T15:16:01Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aol.com
,"Kate Middleton, Meghan Markle, Prince William, and Prince Harry Gather in Buckingham Palace - HarpersBAZAAR.com",2019-03-05T15:14:00Z,0.0,0.0,0.0,0.0,0.532616,0.0,0.0,Harpersbazaar.com
,Midsommar trailer: Hereditary director returns with creepy cult horror - Polygon,2019-03-05T15:13:24Z,0.0,0.8258200000000001,0.0,0.0,0.0,0.0,0.0,Polygon
,"Kylie Jenner is Now World's Youngest Billionaire, Officially - TMZ",2019-03-05T15:10:00Z,0.0,0.0,0.612538,0.0,0.0,0.0,0.0,Tmz.com
,"Pritzker Prize Goes to Arata Isozaki, Designer for a Postwar World - The New York Times",2019-03-05T15:08:27Z,0.0,0.0,0.7310989999999999,0.0,0.0,0.0,0.0,The New York Times
,"Luke Perry's 'Beverly Hills, 90210' co-stars Shannen Doherty, Tori Spelling 'heartbroken' over star's death - Fox News",2019-03-05T14:08:17Z,0.0,0.0,0.0,0.832327,0.0,0.0,0.0,Fox News
,Queen Latifah stands by Jussie Smollett after alleged hoax - Page Six,2019-03-05T14:02:00Z,0.0,0.0,0.522988,0.0,0.0,0.0,0.0,Pagesix.com
,Update: Stormi Webster Has Her Own Custom Lamborghini and She's Literally a Baby - Cosmopolitan.com,2019-03-05T13:47:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cosmopolitan.com
