source,date,title,description
Foxbusiness.com,2019-02-28T16:12:16Z,Southwest Airlines approved by FAA for flights to Hawaii - Fox Business,A spokesperson for the low-fare airline said teams are now finalizing plans to offer service to Hawaii.
Barrons.com,2019-02-28T15:50:00Z,Disney Wants to Buy AT&T's Stake in Hulu - Barron's,"With AT&Tâ€™s $104 billion Time Warner deal unlikely to be challenged further, AT&Tâ€™s Hulu stake is on the selling blockâ€”and according to a new report, Walt Disney wants to buy it."
Yahoo.com,2019-02-28T15:47:00Z,"PG&E Corporation (PCG) Q4 Earnings Beat, Revenues Decline - Yahoo Finance",PG&E Corporation (PCG) exceeded earnings estimate by 29% in the fourth quarter of 2018.
Gizmodo.com,2019-02-28T15:39:00Z,"Four Hospitalized After 'Sweet, Burning' Odor Fills Alaska Airlines Flight - Gizmodo",An Alaska Airlines flight was diverted from its destination on Wednesday night after its crew reported smelling a mysterious odor in the cabin. Passengers were reportedly having trouble breathing and four crew members were taken to a hospital for further mediâ€_
CNBC,2019-02-28T15:33:54Z,Coyote fur is in big demand thanks to popular parkas - CNBC,Those fur-trimmed parkas so common on city sidewalks have become a boon to backwoods trappers.
Marketwatch.com,2019-02-28T15:00:00Z,Mortgage rates stay subdued as housing reform issues grab the spotlight - MarketWatch,"Rates for home loans were little changed near recent lows, a breath of fresh air for the housing market that may be reinforced by policy from Washington."
Bmwblog.com,2019-02-28T14:32:17Z,BMW and Daimler Announce Agreement for Autonomous Driving R&D - BMWBLOG,"Literally days after BMW and Daimler announced their joint-ventures in next-gen mobility, the two German giants announced yet another, even more"
Axios,2019-02-28T14:31:45Z,"Login - February 28, 2019 - Axios","Ina Fried, our expert on tech, illuminates the news shaping Silicon Valley and tech products. Weekday mornings"
Simpleflying.com,2019-02-28T14:21:00Z,When Will British Airways Retire Its Last 747 Now The Boeing 777X Is On Order? - Simple Flying,Will today's B777-9 order from British Airways affect the Boeing 747 retirement plan? Simple Flying investigates.
Fox17.com,2019-02-28T13:23:54Z,You can get paid $14 an hour to taste test chocolate - WZTV,"Calling all chocoholics! Confectionery company Cadbury is hiring and its looking for a chocolate taste tester. The job pays $14 an hour. The lucky hire will be part of a 12-person team tasked with giving opinions on brands like Oreos and Milk. Cadbury, at theâ€_"
Foxbusiness.com,2019-02-28T11:09:56Z,Carlos Ghosn's new legal team has applied for bail - Fox Business,Ghosn has been jailed since Nov. 19.
Businessreport.com,2019-02-28T10:17:00Z,Praxair to build hydrogen plant in Louisiana - Greater Baton Rouge Business Report,Praxair Inc. announced plans this morning to build a large-scale hydrogen plant in Louisiana after signing a long-term supply contract with a major refinery in the area. The announcement did not say which refinery or where the plant will be built. The industrâ€_
Cbs8.com,2019-02-28T06:26:00Z,Californians lose millions of dollars in recycling deposits - CBS 8 San Diego,"California consumers lost out on at least $308 million in nickel deposits on cans and bottles in 2018, largely because it's increasingly difficult to find a place to recycle them, according to a new"
